Date,Open,High,Low,Close,Volume
2015-04-01,5090,5090,5090,5090,100
2015-04-03,5000,5000,5000,5000,3
2015-04-08,5000,5000,5000,5000,5
2015-04-10,4900,4900,4900,4900,1
2015-04-13,4900,4900,4900,4900,23
2015-04-14,4900,4900,4900,4900,14
2015-04-16,4900,4900,4900,4900,52
2015-04-17,4900,4900,4900,4900,1
2015-04-21,4900,4900,4850,4850,4
2015-04-22,4800,4800,4800,4800,100
2015-04-23,4800,4800,4800,4800,60
2015-04-24,4800,4800,4800,4800,12
2015-05-05,4750,4750,4750,4750,6
2015-05-07,4500,4500,4500,4500,161
2015-05-08,4500,4500,4500,4500,22
2015-05-13,4500,4500,4500,4500,59
2015-05-18,4500,4500,4500,4500,23
2015-05-19,4500,4500,4400,4400,113
2015-05-20,4400,4400,4400,4400,89
2015-05-21,4400,4400,4400,4400,108
2015-05-22,4400,4400,4400,4400,40
2015-05-27,4400,4400,4400,4400,5
2015-05-28,4400,4400,4400,4400,7
2015-05-29,4300,4400,4300,4400,39
2015-06-03,4400,4400,4400,4400,72
2015-06-08,4500,4500,4500,4500,42
2015-06-11,4400,4400,4400,4400,31
2015-06-12,4400,4400,4400,4400,33
2015-06-15,4400,4400,4390,4390,47
2015-06-17,4400,4500,4400,4500,6
2015-06-18,4500,4500,4500,4500,30
2015-06-19,4400,4400,4400,4400,35
2015-06-25,4070,4400,4070,4400,240
2015-06-29,4070,4400,4070,4400,85
2015-06-30,4100,4100,4100,4100,36
2015-07-01,4200,4200,4200,4200,15
2015-07-02,4100,4100,4100,4100,58
2015-07-03,4300,4300,4300,4300,38
2015-07-06,4300,4300,4300,4300,262
2015-07-08,4250,4250,4250,4250,1
2015-07-10,4200,4200,4200,4200,20
2015-07-13,4150,4150,4150,4150,1
2015-07-15,4200,4200,4200,4200,5
2015-07-21,4500,4500,4500,4500,1
2015-07-22,4500,4500,4500,4500,20
2015-07-24,4500,4500,4500,4500,6
2015-07-27,4500,4500,4500,4500,149
2015-07-29,4500,4500,4500,4500,32
2015-08-03,4835,4835,4835,4835,5
2015-08-05,5000,5000,5000,5000,23
2015-08-06,5000,5000,5000,5000,2
2015-08-10,5000,5000,5000,5000,17
2015-08-11,5000,5000,5000,5000,35
2015-08-12,4995,4995,4995,4995,57
2015-08-13,5000,5000,5000,5000,108
2015-08-21,5375,5375,5375,5375,11
2015-08-24,5375,5375,5375,5375,9
2015-08-31,5500,5700,5000,5000,79
2015-09-04,5000,5000,5000,5000,25
2015-09-07,5000,5000,5000,5000,1
2015-09-08,5000,5000,5000,5000,9
2015-09-10,4750,4750,4750,4750,6727
2015-09-14,4900,5000,4900,5000,14
2015-09-17,5000,5000,5000,5000,3
2015-09-18,5000,5000,5000,5000,10
2015-09-22,4995,4995,4995,4995,5
2015-09-25,4900,4900,4895,4895,20
2015-09-29,4895,4895,4895,4895,1
2015-09-30,4850,4850,4850,4850,5
2015-10-01,4500,4500,4500,4500,85
2015-10-02,4500,4500,4445,4445,56
2015-10-05,4445,4445,4445,4445,1
2015-10-06,4395,4395,4395,4395,102
2015-10-07,4390,4390,4390,4390,45
2015-10-08,4250,4250,4250,4250,11
2015-10-09,4240,4240,4240,4240,8
2015-10-12,4245,4245,4245,4245,5
2015-10-13,4245,4245,4000,4000,14
2015-10-14,4000,4000,4000,4000,6
2015-10-19,4010,4010,4000,4000,37
2015-10-20,4000,4000,4000,4000,12
2015-10-22,4000,4000,4000,4000,100
2015-10-26,3995,4000,3995,4000,136
2015-10-28,4240,4240,4240,4240,15
2015-10-29,4240,4240,4240,4240,2
2015-10-30,4240,4240,4240,4240,21
2015-11-09,4305,4305,4300,4300,5
2015-11-10,4500,4500,4500,4500,10
2015-11-11,4800,4800,4800,4800,10
2015-11-12,5160,5160,5160,5160,7
2015-11-16,5000,5000,5000,5000,18
2015-11-18,5100,5100,5100,5100,1
2015-11-23,5100,5100,5100,5100,50
2015-11-26,5095,5095,5095,5095,11
2015-11-27,5095,5100,5095,5100,20
2015-12-02,5000,5000,5000,5000,6
2015-12-03,5000,5100,5000,5100,190
2015-12-04,5100,5100,5100,5100,15
2015-12-07,5100,5100,5000,5000,8
2015-12-08,5100,5100,5100,5100,15
2015-12-10,5000,5000,5000,5000,79
2015-12-11,4900,4900,4900,4900,2
2015-12-14,4900,4900,4900,4900,2
2015-12-15,4900,4900,4900,4900,3
2015-12-29,4535,5000,4535,5000,20
2015-12-30,5100,5100,5100,5100,21
2016-01-06,5000,5000,5000,5000,46
2016-01-14,5000,5000,4900,4900,14
2016-01-15,4900,4900,4900,4900,1
2016-01-25,4895,4895,4800,4800,40
2016-01-26,4800,4800,4800,4800,40
2016-01-29,4805,4805,4800,4800,139
2016-02-02,4800,4800,4800,4800,10
2016-02-04,5000,5000,5000,5000,5
2016-02-09,5005,5005,5005,5005,1
2016-02-10,5375,5375,5375,5375,2
2016-02-11,5375,5375,5000,5000,44
2016-02-15,5000,5000,5000,5000,20
2016-02-16,5000,5000,5000,5000,28
2016-02-18,4985,4990,4985,4990,6
2016-02-19,4985,4985,4985,4985,10
2016-02-22,4985,4985,4985,4985,5
2016-02-24,4990,4990,4990,4990,12
2016-02-26,4985,4990,4985,4990,27
2016-02-29,4990,4990,4990,4990,6
2016-03-01,4800,4800,4800,4800,10
2016-03-02,4850,4885,4850,4885,130
